0, 62, 537, 595
66, 103, 558, 595
104, 142, 545, 582
144, 180, 533, 569
181, 218, 524, 559
221, 258, 519, 556
262, 300, 522, 562
302, 343, 535, 575
344, 384, 549, 589
386, 425, 558, 596
426, 468, 559, 600
470, 508, 560, 600
510, 548, 560, 600
550, 589, 560, 600
590, 629, 560, 600
630, 670, 560, 600
671, 711, 560, 600
713, 753, 554, 594
750, 792, 533, 574
756, 800, 489, 531
753, 795, 445, 486
742, 782, 405, 445
706, 746, 380, 420
400, 441, 476, 518
359, 400, 490, 532
313, 357, 485, 528
272, 315, 470, 513
228, 270, 460, 502
182, 228, 458, 502
138, 180, 465, 506
95, 138, 476, 520
48, 94, 486, 525
0, 46, 492, 536
0, 46, 446, 490
4, 50, 400, 444
38, 82, 368, 412
83, 127, 378, 421
128, 175, 374, 418
137, 182, 328, 372
93, 136, 310, 355
46, 92, 300, 345
5, 49, 282, 326
0, 45, 236, 280
9, 55, 189, 234
44, 90, 158, 205
92, 139, 157, 204
229, 272, 126, 165
280, 314, 80, 115
331, 367, 71, 106
360, 396, 50, 84
393, 428, 67, 101
440, 476, 55, 90
497, 530, 33, 68
532, 566, 23, 56
566, 600, 13, 45
600, 634, 5, 39
633, 668, 19, 53
632, 667, 54, 90
635, 672, 92, 130
647, 684, 131, 167
658, 695, 168, 206
665, 700, 208, 243
663, 698, 246, 282
668, 703, 284, 319
706, 742, 287, 322
738, 772, 267, 301
740, 774, 321, 264
732, 768, 193, 228
680, 756, 15, 80
720, 756, 155, 191
731, 766, 119, 155
752, 788, 88, 125
